id,new_category,confidence
1184,Love & Relationships,Medium
1185,Peace,Medium
1186,Peace,Medium
1187,Self-Love & Worthiness,Low
1188,Wealth & Abundance,Medium
1189,Love & Relationships,Medium
1190,Peace,Medium
1191,Peace,Medium
1192,Self-Love & Worthiness,Medium
1193,Peace,Medium
1194,Peace,Medium
1195,Love & Relationships,Medium
1196,Love & Relationships,Medium
1197,Self-Love & Worthiness,Medium
1198,Self-Love & Worthiness,Medium
1199,Self-Love & Worthiness,Low
1200,Self-Love & Worthiness,Low
1201,Self-Love & Worthiness,Low
1202,Self-Love & Worthiness,Low
1203,Confidence & Inner Strength,Medium
1204,Peace,Medium
1205,Peace,Medium
1206,Peace,Medium
1207,Self-Love & Worthiness,Low
1208,Peace,High
1209,Self-Love & Worthiness,Low
1210,Self-Love & Worthiness,Low
1211,Health & Wholeness,Medium
1212,Self-Love & Worthiness,Low
1213,Peace,Medium
1214,Peace,Medium
1215,Self-Love & Worthiness,Medium
1216,Self-Love & Worthiness,Medium
1217,Self-Love & Worthiness,Low
1218,Self-Love & Worthiness,Medium
1219,Self-Love & Worthiness,Medium
1220,Self-Love & Worthiness,Low
1221,Self-Love & Worthiness,Low
1222,Self-Love & Worthiness,Low
1223,Self-Love & Worthiness,Low
1224,Peace,Medium
1225,Wealth & Abundance,Medium
1226,Self-Love & Worthiness,Low
1227,Self-Love & Worthiness,Low
1228,Peace,Medium
1229,Wealth & Abundance,Medium
1230,Peace,Medium
1231,Wealth & Abundance,Medium
1232,Self-Love & Worthiness,Medium
1233,Self-Love & Worthiness,Low
1234,Self-Love & Worthiness,Medium
1235,Self-Love & Worthiness,Low
1236,Self-Love & Worthiness,High
1237,Self-Love & Worthiness,High
1238,Self-Love & Worthiness,Low
1239,Self-Love & Worthiness,Low
1240,Self-Love & Worthiness,Low
1241,Self-Love & Worthiness,Low
1242,Self-Love & Worthiness,Low
1243,Self-Love & Worthiness,Medium
1244,Self-Love & Worthiness,Medium
1245,Love & Relationships,Medium
1246,Love & Relationships,High
1247,Love & Relationships,Medium
1248,Self-Love & Worthiness,Low
1249,Self-Love & Worthiness,High
1250,Self-Love & Worthiness,Medium
1251,Self-Love & Worthiness,Low
1252,Confidence & Inner Strength,Medium
1253,Love & Relationships,Medium
1254,Self-Love & Worthiness,Low
1255,Self-Love & Worthiness,Low
1256,Self-Love & Worthiness,Low
1257,Self-Love & Worthiness,Low
1258,Self-Love & Worthiness,Low
1259,Self-Love & Worthiness,Medium
1260,Self-Love & Worthiness,Low
1261,Love & Relationships,Medium
1262,Love & Relationships,Medium
1263,Love & Relationships,Medium
1264,Love & Relationships,Medium
1265,Self-Love & Worthiness,Medium
1266,Self-Love & Worthiness,Medium
1267,Self-Love & Worthiness,Low
1268,Love & Relationships,Medium
1269,Love & Relationships,Medium
1270,Love & Relationships,Medium
1271,Love & Relationships,Medium
1272,Love & Relationships,Medium
1273,Health & Wholeness,Medium
1274,Love & Relationships,Medium
1275,Love & Relationships,Medium
1276,Love & Relationships,Medium
1277,Love & Relationships,Medium
1278,Love & Relationships,Medium
1279,Self-Love & Worthiness,Low
1280,Self-Love & Worthiness,Low
1281,Self-Love & Worthiness,Medium
1282,Self-Love & Worthiness,Medium
1283,Self-Love & Worthiness,Low
1284,Self-Love & Worthiness,Low
1285,Self-Love & Worthiness,Low
1286,Self-Love & Worthiness,Low
1287,Self-Love & Worthiness,Low
1288,Self-Love & Worthiness,Low
1289,Self-Love & Worthiness,Low
1290,Self-Love & Worthiness,Low
1291,Self-Love & Worthiness,Low
1292,Self-Love & Worthiness,Low
1293,Peace,Medium
1294,Wealth & Abundance,Medium
1295,Self-Love & Worthiness,Low
1296,Self-Love & Worthiness,Low
1297,Self-Love & Worthiness,Medium
1298,Self-Love & Worthiness,Low
1299,Love & Relationships,Medium
1300,Love & Relationships,Medium
1301,Peace,Medium
1302,Peace,Medium
1303,Peace,Medium
1304,Peace,Medium
1305,Peace,Medium
1306,Peace,Medium
1307,Love & Relationships,Medium
1308,Peace,Medium
1309,Peace,Medium
1310,Peace,Medium
1311,Peace,Medium
1312,Self-Love & Worthiness,Low
1313,Self-Love & Worthiness,Low
1314,Self-Love & Worthiness,Medium
1315,Self-Love & Worthiness,Medium
1316,Self-Love & Worthiness,Medium
1317,Self-Love & Worthiness,Low
1318,Wealth & Abundance,Medium
1319,Peace,Medium
1320,Self-Love & Worthiness,Low
1321,Self-Love & Worthiness,Low
1322,Peace,Medium
1323,Self-Love & Worthiness,Medium
1324,Self-Love & Worthiness,Medium
1325,Self-Love & Worthiness,Low
1326,Self-Love & Worthiness,Low
1327,Self-Love & Worthiness,Low
1328,Self-Love & Worthiness,Low
1329,Self-Love & Worthiness,Low
1330,Love & Relationships,Medium
1331,Peace,Medium
1332,Self-Love & Worthiness,Low
1333,Love & Relationships,Medium
1334,Self-Love & Worthiness,Low
1335,Peace,Medium
1336,Self-Love & Worthiness,Low
1337,Self-Love & Worthiness,Low
1338,Self-Love & Worthiness,Low
1339,Self-Love & Worthiness,Low
1340,Love & Relationships,Medium
1341,Love & Relationships,Medium
1342,Love & Relationships,Medium
1343,Love & Relationships,Medium
1344,Love & Relationships,Medium
1345,Self-Love & Worthiness,Low
1346,Self-Love & Worthiness,Low
1347,Self-Love & Worthiness,Low
1348,Love & Relationships,Medium
1349,Love & Relationships,Medium
1350,Self-Love & Worthiness,Medium
1351,Love & Relationships,Medium
1352,Love & Relationships,Medium
1353,Love & Relationships,Medium
1354,Love & Relationships,Medium
1355,Love & Relationships,Medium
1356,Self-Love & Worthiness,Low
1357,Wealth & Abundance,Medium
1358,Self-Love & Worthiness,Low
1359,Self-Love & Worthiness,Low
1360,Self-Love & Worthiness,Low
1361,Peace,Medium
1362,Peace,Medium
1363,Self-Love & Worthiness,Low
1364,Self-Love & Worthiness,Medium
1365,Self-Love & Worthiness,Medium
1366,Self-Love & Worthiness,Medium
1367,Self-Love & Worthiness,Medium
1368,Self-Love & Worthiness,Medium
1369,Self-Love & Worthiness,Medium
1370,Self-Love & Worthiness,Medium
1371,Self-Love & Worthiness,Low
1372,Self-Love & Worthiness,Low
1373,Self-Love & Worthiness,Low
1374,Self-Love & Worthiness,Medium
1375,Confidence & Inner Strength,High
1376,Self-Love & Worthiness,Medium
1377,Self-Love & Worthiness,Low
1378,Self-Love & Worthiness,Low
1379,Self-Love & Worthiness,Low
1380,Self-Love & Worthiness,Low
1381,Peace,Medium
1382,Love & Relationships,Medium
1383,Love & Relationships,High
1384,Love & Relationships,Medium
1385,Love & Relationships,Medium
1386,Love & Relationships,Medium
1387,Love & Relationships,Medium
1388,Love & Relationships,Medium
1389,Self-Love & Worthiness,Medium
1390,Love & Relationships,Medium
1391,Self-Love & Worthiness,Low
1392,Self-Love & Worthiness,Low
1393,Purpose,Medium
1394,Purpose,Medium
1395,Self-Love & Worthiness,Low
1396,Love & Relationships,Medium
1397,Self-Love & Worthiness,Low
1398,Self-Love & Worthiness,Low
1399,Self-Love & Worthiness,Low
1400,Love & Relationships,Medium
1401,Love & Relationships,Medium
1402,Love & Relationships,Medium
1403,Love & Relationships,Medium
1404,Love & Relationships,Medium
1405,Self-Love & Worthiness,Low
1406,Love & Relationships,Medium
1407,Peace,Medium
1408,Love & Relationships,Medium
1409,Love & Relationships,Medium
1410,Love & Relationships,Medium
1411,Love & Relationships,Medium
1412,Love & Relationships,Medium
1413,Purpose,Medium
1414,Self-Love & Worthiness,Low
1415,Self-Love & Worthiness,Medium
1416,Self-Love & Worthiness,Medium
1417,Self-Love & Worthiness,Low
1418,Love & Relationships,High
1419,Peace,Medium
1420,Love & Relationships,Medium
1421,Love & Relationships,Medium
1422,Love & Relationships,Medium
1423,Self-Love & Worthiness,Low
1424,Self-Love & Worthiness,Low
1425,Love & Relationships,Medium
1426,Love & Relationships,Medium
1427,Self-Love & Worthiness,Low
1428,Self-Love & Worthiness,Low
1429,Love & Relationships,Medium
1430,Peace,Medium
1431,Peace,Medium
1432,Self-Love & Worthiness,Low
1433,Peace,Medium
1434,Self-Love & Worthiness,Low
1435,Self-Love & Worthiness,Low
1436,Self-Love & Worthiness,Low
1437,Self-Love & Worthiness,Low
1438,Self-Love & Worthiness,Low
1439,Self-Love & Worthiness,Low
1440,Self-Love & Worthiness,High
1441,Self-Love & Worthiness,Low
1442,Wealth & Abundance,Medium
1443,Love & Relationships,Medium
1444,Self-Love & Worthiness,Low
1445,Self-Love & Worthiness,Low
1446,Self-Love & Worthiness,Low
1447,Self-Love & Worthiness,Low
1448,Self-Love & Worthiness,Low
1449,Love & Relationships,Medium
1450,Self-Love & Worthiness,Low
1451,Self-Love & Worthiness,Low
1452,Love & Relationships,Medium
1453,Health & Wholeness,High
1454,Purpose,Medium
1455,Self-Love & Worthiness,Low
1456,Self-Love & Worthiness,Medium
1457,Self-Love & Worthiness,Low
1458,Self-Love & Worthiness,Low
1459,Self-Love & Worthiness,Low
1460,Purpose,Medium
1461,Peace,Medium
1462,Self-Love & Worthiness,Low
1463,Self-Love & Worthiness,Low
1464,Self-Love & Worthiness,Medium
1465,Love & Relationships,Medium
1466,Self-Love & Worthiness,Low
1467,Peace,Medium
1468,Self-Love & Worthiness,Low
1469,Self-Love & Worthiness,Medium
1470,Self-Love & Worthiness,Medium
1471,Self-Love & Worthiness,Low
1472,Self-Love & Worthiness,Low
1473,Self-Love & Worthiness,Low
1474,Self-Love & Worthiness,Low
1475,Purpose,Medium
1476,Self-Love & Worthiness,High
1477,Self-Love & Worthiness,Medium
1478,Self-Love & Worthiness,Low
1479,Self-Love & Worthiness,Medium
1480,Self-Love & Worthiness,Low
1481,Self-Love & Worthiness,Medium
1482,Peace,Medium
1483,Self-Love & Worthiness,High
1484,Love & Relationships,Medium
1485,Love & Relationships,Medium
1486,Self-Love & Worthiness,Medium
1487,Peace,Medium
1488,Self-Love & Worthiness,Low
1489,Self-Love & Worthiness,Low
1490,Self-Love & Worthiness,Low
1491,Self-Love & Worthiness,Medium
1492,Self-Love & Worthiness,Low
1493,Self-Love & Worthiness,Medium
1494,Wealth & Abundance,High
1495,Wealth & Abundance,Medium
1496,Self-Love & Worthiness,Low
1497,Health & Wholeness,High
1498,Wealth & Abundance,Medium
1499,Self-Love & Worthiness,Low
1500,Purpose,Medium
1501,Love & Relationships,Medium
1502,Self-Love & Worthiness,Medium
1503,Peace,Medium
1504,Peace,Medium
1505,Confidence & Inner Strength,Medium
1506,Self-Love & Worthiness,Low
1507,Self-Love & Worthiness,Medium
1508,Self-Love & Worthiness,Low
1509,Self-Love & Worthiness,Low
1510,Love & Relationships,Medium
1511,Self-Love & Worthiness,Low
1512,Self-Love & Worthiness,Low
1513,Health & Wholeness,Medium
1514,Health & Wholeness,Medium
1515,Health & Wholeness,Medium
1516,Self-Love & Worthiness,Low
1517,Self-Love & Worthiness,Low
1518,Self-Love & Worthiness,Low
1519,Self-Love & Worthiness,Low
1520,Self-Love & Worthiness,Low
1521,Self-Love & Worthiness,Low
1522,Self-Love & Worthiness,Low
1523,Self-Love & Worthiness,Low
1524,Self-Love & Worthiness,Low
1525,Self-Love & Worthiness,Low
1526,Self-Love & Worthiness,Low
1527,Peace,Medium
1528,Self-Love & Worthiness,Low
1529,Self-Love & Worthiness,Low
1530,Self-Love & Worthiness,Medium
1531,Self-Love & Worthiness,Low
1532,Peace,Medium
1533,Peace,Medium
1534,Purpose,Medium
1535,Self-Love & Worthiness,Low
1537,Self-Love & Worthiness,Low
1538,Confidence & Inner Strength,High
1539,Self-Love & Worthiness,Low
1540,Self-Love & Worthiness,Low
1541,Love & Relationships,Medium
1542,Love & Relationships,Medium
1543,Self-Love & Worthiness,Low
1544,Self-Love & Worthiness,Low
1545,Self-Love & Worthiness,Low
1546,Self-Love & Worthiness,Low
1547,Love & Relationships,Medium
1548,Self-Love & Worthiness,Low
1549,Self-Love & Worthiness,Low
1550,Love & Relationships,Medium
1551,Wealth & Abundance,High
1552,Self-Love & Worthiness,Low
1553,Self-Love & Worthiness,Low
1554,Health & Wholeness,Medium
1555,Self-Love & Worthiness,Low
1556,Love & Relationships,Medium
1557,Love & Relationships,Medium
1558,Love & Relationships,Medium
1559,Peace,Medium
1560,Peace,Medium
1561,Self-Love & Worthiness,Low
1562,Wealth & Abundance,Medium
1563,Love & Relationships,Medium
1564,Peace,Medium
1565,Peace,Medium
1566,Self-Love & Worthiness,Medium
1567,Peace,Medium
1568,Peace,Medium
1569,Love & Relationships,Medium
1570,Love & Relationships,Medium
1571,Self-Love & Worthiness,Medium
1572,Self-Love & Worthiness,Medium
1573,Self-Love & Worthiness,Low
1574,Self-Love & Worthiness,Low
1575,Self-Love & Worthiness,Low
1576,Self-Love & Worthiness,Low
1577,Confidence & Inner Strength,Medium
1578,Peace,Medium
1579,Peace,Medium
1580,Peace,Medium
1581,Self-Love & Worthiness,Low
1582,Peace,High
1583,Self-Love & Worthiness,Low
1584,Self-Love & Worthiness,Low
1585,Health & Wholeness,Medium
1586,Self-Love & Worthiness,Low
1587,Peace,Medium
1588,Peace,Medium
1589,Self-Love & Worthiness,Medium
1590,Self-Love & Worthiness,Medium
1591,Self-Love & Worthiness,Low
1592,Self-Love & Worthiness,Medium
1593,Self-Love & Worthiness,Medium
1594,Self-Love & Worthiness,Low
1595,Self-Love & Worthiness,Low
1596,Self-Love & Worthiness,Low
1597,Self-Love & Worthiness,Low
1598,Peace,Medium
1599,Wealth & Abundance,Medium
1600,Self-Love & Worthiness,Low
1601,Self-Love & Worthiness,Low
1602,Peace,Medium
1603,Wealth & Abundance,Medium
