"id","type","text"
"830","MORNING_IAM","I am free"
"831","MORNING_IAM","I am now financially free"
"832","MORNING_IAM","I am now emotionally free"
"833","MORNING_IAM","I am music to someone’s ears"
"834","MORNING_IAM","I am always sharing with joy and gratitude"
"835","MORNING_IAM","I am lucky"
"836","MORNING_IAM","I am winning all the time"
"837","MORNING_IAM","I am a healer"
"838","MORNING_IAM","I am a manifester"
"839","MORNING_IAM","I am aware of the power of good that flows through me"
"840","MORNING_IAM","I am aware of the power of good that flows through others"
"841","MORNING_IAM","I am aware of the Divine all around me"
"842","MORNING_IAM","I am always getting enough sleep"
"843","MORNING_IAM","I am well rested"
"844","MORNING_IAM","I am whole"
"845","MORNING_IAM","I am complete"
"846","MORNING_IAM","I am one with everything and everyone"
"847","MORNING_IAM","I am good at setting boundaries when I need them"
"848","MORNING_IAM","I am always having good positive experiences"
"849","MORNING_IAM","I am positive"
"850","MORNING_IAM","I am choosing to be happy"
"851","MORNING_IAM","I am choosing to be wealthy"
"852","MORNING_IAM","I am choosing to be right here right now"
"853","MORNING_IAM","I am intentionally embracing my space in the here and the now"
"854","MORNING_IAM","I am free of the past"
"855","MORNING_IAM","I am planting seeds of wealth now"
"856","MORNING_IAM","I am planting seeds of joy now"
"857","MORNING_IAM","I am planting seeds of prosperity now"
"858","MORNING_IAM","I am a Divine seed"
"859","MORNING_IAM","I am comfortable in the lap of luxury"
"860","MORNING_IAM","I am a Divine receptacle"
"861","MORNING_IAM","I am honest"
"862","MORNING_IAM","I am worthy"
"863","MORNING_IAM","I am deserving of all the good the universe has for me"
"864","MORNING_IAM","I am a star"
"865","MORNING_IAM","I am merciful"
"866","MORNING_IAM","I am beneficent"
"867","MORNING_IAM","I am on an amazing journey"
"868","MORNING_IAM","I am growing spiritually every day in every way"
"869","MORNING_IAM","I am a calm and gentle spirit"
"870","MORNING_IAM","I am a good and worthy choice"
"871","MORNING_IAM","I am in love with my quiet time"
"872","MORNING_IAM","I am in love with the time I spend with friends and family"
"873","MORNING_IAM","I am in love with diversity"
"874","MORNING_IAM","I am a diverse spiritual being"
"875","MORNING_IAM","I am enough"
"876","MORNING_IAM","I am more than enough"
"877","MORNING_IAM","I am the cup that runneth over"
"878","MORNING_IAM","I am in love with money and all good and fun things I can do with it"
"879","MORNING_IAM","I am in love with the world"
"880","MORNING_IAM","I am justice"
"881","MORNING_IAM","I am truth"
"882","MORNING_IAM","I am the hero of my story"
"883","MORNING_IAM","I am the consciousness of my life"
"884","MORNING_IAM","I am the center of my world"
"885","MORNING_IAM","I am the center of the universe"
"886","MORNING_IAM","I am made of the substance of the stars"
"887","MORNING_IAM","I am in love with change and welcome it with joy"
"888","MORNING_IAM","I am in love with plants and flowers and grass and summer breezes"
"889","MORNING_IAM","I am in love with snow and cold crisp winter air"
"890","MORNING_IAM","I am in love with the heat and bright sunshine of summer"
"891","MORNING_IAM","I am in love with the universe"
"892","MORNING_IAM","I am in love with the Divine as it is expressed in the world around me"
"893","MORNING_IAM","I am perfect as I am"
"894","MORNING_IAM","I am in love with my face"
"895","MORNING_IAM","I am in love with my eyes"
"896","MORNING_IAM","I am in love with my stomach"
"897","MORNING_IAM","I am in love with my periods"
"898","MORNING_IAM","I am in love with my toes"
"899","MORNING_IAM","I am in love with every breath I take"
"900","MORNING_IAM","I am in love with my fingers"
"901","MORNING_IAM","I am in love with my hair"
"902","MORNING_IAM","I am in love with my head"
"903","MORNING_IAM","I am in love with my ears"
"904","MORNING_IAM","I am in love with my teeth"
"905","MORNING_IAM","I am forever"
"906","MORNING_IAM","I am eternal"
"907","MORNING_IAM","I am a Divine song"
"908","MORNING_IAM","I am a Divine story of peace"
"909","MORNING_IAM","I am possibility"
"910","MORNING_IAM","I am choosing wisely"
"911","MORNING_IAM","I am a miracle"
"912","MORNING_IAM","I am always choosing the best for myself and others"
"913","MORNING_IAM","I am a beautiful dance of consciousness"
"914","MORNING_IAM","I am I am such an I am I am"
"915","MORNING_IAM","I am responsible"
"916","MORNING_IAM","I am a helping hand"
"917","MORNING_IAM","I am a gift"
"918","MORNING_IAM","I am needed"
"919","MORNING_IAM","I am happy to share my gifts with others"
"920","MORNING_IAM","I am happy to receive gifts from others"
"921","MORNING_IAM","I am imagining a world that works for everybody"
"922","MORNING_IAM","I am belief"
"923","MORNING_IAM","I am faith"
"924","MORNING_IAM","I am strength"
"925","MORNING_IAM","I am in love with all the time I have to do all the things I love"
"926","MORNING_IAM","I am grateful to be able to do all the things I love"
"927","MORNING_IAM","I am grateful for my life"
"928","MORNING_IAM","I am grateful for the food in my refrigerator"
"929","MORNING_IAM","I am grateful for the fire in my stove"
"930","MORNING_IAM","I am grateful for the ground I walk on"
"931","MORNING_IAM","I am grateful for art"
"932","MORNING_IAM","I am grateful for music"
"933","MORNING_IAM","I am in love with the musical sound of the world"
"934","MORNING_IAM","I am grateful for the fish in the sea"
"935","MORNING_IAM","I am grateful for the animals that walk this earth with me"
"936","MORNING_IAM","I am grateful for the birds in the air"
"937","MORNING_IAM","I am grateful for the thoughts I think"
"938","MORNING_IAM","I am letting go of the past, even the past I loved"
"939","MORNING_IAM","I am letting go of all I thought I knew that no longer serves me"
"940","MORNING_IAM","I am open to Divine knowledge"
"941","MORNING_IAM","I am open to Divine understanding"
"942","MORNING_IAM","I am the will of the Divine"
"943","MORNING_IAM","I am waking up happier and happier every day in every way"
"944","MORNING_IAM","I am always in a wealthy state of mind"
"945","MORNING_IAM","I am always in a grateful state of mind"
"946","MORNING_IAM","I am pleasure"
"947","MORNING_IAM","I am in a peaceful state of mind"
"948","MORNING_IAM","I am relaxed"
"949","MORNING_IAM","I am a Divine story of love"
"950","MORNING_IAM","I am a Divine story of prosperity"
"951","MORNING_IAM","I am a soulfully pleasurable experience"
"952","MORNING_IAM","I am the soul of my life"
"953","MORNING_IAM","I am a prayer"
"954","MORNING_IAM","I am praying now"
"955","MORNING_IAM","I am a voice for good"
"956","MORNING_IAM","I am the voice of love in my life"
"957","MORNING_IAM","I am the voice of peace in my life"
"958","MORNING_IAM","I am the voice of possibility in my life"
"959","MORNING_IAM","I am the voice of compassion in my life"
"960","MORNING_IAM","I am the voice of reason in my life"
"961","MORNING_IAM","I am the voice of joy in my life"
"962","MORNING_IAM","I am a beautiful speaker"
"963","MORNING_IAM","I am the embodiment of praise"
"964","MORNING_IAM","I am praising now"
"965","MORNING_IAM","I am the best me"
"966","MORNING_IAM","I am in love with my alone time"
"967","MORNING_IAM","I am in love with my meditation practice"
"968","MORNING_IAM","I am in love with love"
"969","MORNING_IAM","I am in love with joy"
"970","MORNING_IAM","I am in love with positive vibrations"
"971","MORNING_IAM","I am a positive vibration"
"972","MORNING_IAM","I am respect and respectful"
"973","MORNING_IAM","I am a good speaker"
"974","MORNING_IAM","I am in love with my sexuality"
"975","MORNING_IAM","I am in love with the sexuality of others"
"976","MORNING_IAM","I am in love with all the ways the Divine expresses in the world"
"977","MORNING_IAM","I am in love with the stars in a night sky"
"978","MORNING_IAM","I am in love with the feel of the sun on my skin"
"979","MORNING_IAM","I am in love with my skin"
"980","MORNING_IAM","I am in love with my chest"
"981","MORNING_IAM","I am in love with compliments"
"982","MORNING_IAM","I am always complimenting others"
"983","MORNING_IAM","I am always saying yes to money"
"984","MORNING_IAM","I am always saying yes to new things"
"985","MORNING_IAM","I am always attracting what is right for me"
"986","MORNING_IAM","I am always attracting what is good for me"
"987","MORNING_IAM","I am always attracting what is safe for me"
"988","MORNING_IAM","I am a safe space"
"989","MORNING_IAM","I am a peaceful space"
"990","MORNING_IAM","I am a channel of a Divine generosity"
"991","MORNING_IAM","I am a channel of the Divine I Am"
"992","MORNING_IAM","I am a channel of Divine music"
"993","MORNING_IAM","I am a channel of Divine creativity"
"994","MORNING_IAM","I am a channel of Divine love"
"995","MORNING_IAM","I am the light of my life"
"996","MORNING_IAM","I am a light on the path helping others to see"
"997","MORNING_IAM","I am bliss"
"998","MORNING_IAM","I am enlightenment given form"
"999","MORNING_IAM","I am a peaceful journey through time"
"1000","MORNING_IAM","I am big enough"
"1001","MORNING_IAM","I am strong enough"
"1002","MORNING_IAM","I am tough enough"
"1003","MORNING_IAM","I am better today than I was yesterday"
"1004","MORNING_IAM","I am at home wherever I am"
"1005","MORNING_IAM","I am comfortable"
"1006","MORNING_IAM","I am a comfortable experience"
"1007","MORNING_IAM","I am free of the need to be free"
"1008","MORNING_IAM","I am forgiven"
"1009","MORNING_IAM","I am in love with how I feel when I forgive"
"1010","MORNING_IAM","I am in love with how I feel when I share"
"1011","MORNING_IAM","I am in love with how I feel when I do what is right and good for me"
"1012","MORNING_IAM","I am in love with how I feel when I do what is right and good for others"
"1013","MORNING_IAM","I am in love with how I feel when I stay true to who I am"
"1014","MORNING_IAM","I am in love with how I feel when I speak my truth"
"1015","MORNING_IAM","I am in love with how I feel when I listen to that voice of the Divine within me"
"1016","MORNING_IAM","I am in love with how I feel when I feel"
"1017","MORNING_IAM","I am enlightened"
"1018","MORNING_IAM","I am an I am that is sometimes simple and sometimes complex"
"1019","MORNING_IAM","I am on purpose"
"1020","MORNING_IAM","I am my greatest purpose"
"1021","MORNING_IAM","I am the one I have been waiting for"
"1022","MORNING_IAM","I am my best friend"
"1023","MORNING_IAM","I am alive"
"1024","MORNING_IAM","I am life in human form"
"1025","MORNING_IAM","I am good company"
"1026","MORNING_IAM","I am in love with how I feel when I do service"
"1027","MORNING_IAM","I am in love all the time"
"1028","MORNING_IAM","I am in love with how I feel when I cook myself a nice dinner"
"1029","MORNING_IAM","I am in love with how I feel when I cook dinner for someone else"
"1030","MORNING_IAM","I am in love with how luxurious I feel in my skin right now"
"1031","MORNING_IAM","I am an expression of enlightened being"
"1032","MORNING_IAM","I am in love with my voice"
"1033","MORNING_IAM","I am a spontaneous burst of playful joy"
"1034","MORNING_IAM","I am in love with the child within me"
"1035","MORNING_IAM","I am in love with the parent in me"
"1036","MORNING_IAM","I am in love with the adult in me"
"1037","MORNING_IAM","I am in love with luxury"
"1038","MORNING_IAM","I am in love with beautiful things"
"1039","MORNING_IAM","I am the master of my destiny"
"1040","MORNING_IAM","I am the captain of my fate"
"1041","MORNING_IAM","I am in love with the Divine in me"
"1042","MORNING_IAM","I am a great expression of Divine Substance"
"1043","MORNING_IAM","I am choosing to focus on the good, the beautiful, and the true"
"1044","MORNING_IAM","I am in love with my heart"
"1045","MORNING_IAM","I am gratitude in action"
"1046","MORNING_IAM","I am love personified"
"1047","MORNING_IAM","I am the heart of my life"
"1048","MORNING_IAM","I am the heart of consciousness"
"1049","MORNING_IAM","I am somebody"
"1050","MORNING_IAM","I am somebody's child"
"1051","MORNING_IAM","I am somebody's friend"
"1052","MORNING_IAM","I am somebody's partner"
"1053","MORNING_IAM","I am somebody's lover"
"1054","MORNING_IAM","I am uniquely me"
"1055","MORNING_IAM","I am a rainbow of love"
"1056","MORNING_IAM","I am a rainbow of peace"
"1057","MORNING_IAM","I am a rainbow of joy"
"1058","MORNING_IAM","I am accomplishing all my goals"
"1059","MORNING_IAM","I am free will"
"1060","MORNING_IAM","I am infinite"
"1061","MORNING_IAM","I am smart"
"1062","MORNING_IAM","I am intelligent"
"1063","MORNING_IAM","I am inspired"
"1064","MORNING_IAM","I am inspiring"
"1065","MORNING_IAM","I am anchored in amazing possibilities"
"1066","MORNING_IAM","I am one with the Divine Intelligent Substance of the Universe"
"1067","MORNING_IAM","I am one with all living beings"
"1068","MORNING_IAM","I am the abundance I see around me"
"1069","MORNING_IAM","I am in love with the sound of my voice"
"1070","MORNING_IAM","I am so excited to be able to be"
"1071","MORNING_IAM","I am a source of good in the lives of others"
"1072","MORNING_IAM","I am proud"
"1073","MORNING_IAM","I am proud of my accomplishments"
"1074","MORNING_IAM","I am proud of the accomplishments of others"
"1075","MORNING_IAM","I am detached in a loving way"
"1076","MORNING_IAM","I am clever"
"1077","MORNING_IAM","I am ok right now as I am"
"1078","MORNING_IAM","I am letting go, with love, of what no longer works for me"
"1079","MORNING_IAM","I am in perfect health"
"1080","MORNING_IAM","I am committed to my highest good"
"1081","MORNING_IAM","I am a living celebration"
"1082","MORNING_IAM","I am a spirit radiating joy from the tips of my toes to the tips of the hairs on my head"
"1083","MORNING_IAM","I am receiving answers to my prayers right now"
"1084","MORNING_IAM","I am embracing and seeing the good in all things"
"1085","MORNING_IAM","I am optimistic"
"1086","MORNING_IAM","I am open to miracles"
"1087","MORNING_IAM","I am fully present to this version of now and all it has to offer"
"1088","MORNING_IAM","I am nourished and soul-fed by all the beauty around me"
"1089","MORNING_IAM","I am a magnet for joyful moments and people to share them with"
"1090","MORNING_IAM","I am sailing in the Divine flow of the mighty Universal river of fulfilled wishes"
"1091","MORNING_IAM","I am the answer to a prayer of love"
"1092","MORNING_IAM","I am a footprint in the sands of life"
"1093","MORNING_IAM","I am gratitude in action"
"1094","MORNING_IAM","I am cause, my life is effect"
"1095","MORNING_IAM","I am aware of the Divine in all I see"
"1096","MORNING_IAM","I am aware of the Divine in the air that I breathe"
"1097","MORNING_IAM","I am awake to this moment right now"
"1098","MORNING_IAM","I am awareness personified"
"1099","MORNING_IAM","I am the I Am presence as me"
"1100","MORNING_IAM","I am the answer to my mothers prayer"
"1101","MORNING_IAM","I am the purpose of my life"
"1102","MORNING_IAM","I am loved because I am"
"1103","MORNING_IAM","I am a seed that produces the most divine flowers that unfold into a most divine life"
"1104","MORNING_IAM","I am and have always been my father’s child"
"1105","MORNING_IAM","I am Divine"
"1106","MORNING_IAM","I am a Divinely inspired"
"1107","MORNING_IAM","I am the divine being in this skin"
"1108","MORNING_IAM","I am happy and excited that everything is always working out for me"
"1109","MORNING_IAM","I am loved"
"1110","MORNING_IAM","I am loving the life I am living"
"1111","MORNING_IAM","I am living the life I am loving"
"1112","MORNING_IAM","I am blessed"
"1113","MORNING_IAM","I am joy"
"1114","MORNING_IAM","I am listened to"
"1115","MORNING_IAM","I am heard"
"1116","MORNING_IAM","I am visible"
"1117","MORNING_IAM","I am seen"
"1118","MORNING_IAM","I am fun and a joyful being"
"1119","MORNING_IAM","I am the loved child of a generous universe"
"1120","MORNING_IAM","I am a blessing to others"
"1121","MORNING_IAM","I am prosperous"
"1122","MORNING_IAM","I am the best version of me that has everything I want"
"1123","MORNING_IAM","I am whole, healed, abundantly prospered and stable"
"1124","MORNING_IAM","I am wealthy now"
"1125","MORNING_IAM","I am bursting with ancestral wisdom"
"1126","MORNING_IAM","I am an open and friendly person"
"1127","MORNING_IAM","I am compassion"
"1128","MORNING_IAM","I am open and receptive to all my Divine Good"
"1129","MORNING_IAM","I am peace"
"1130","MORNING_IAM","I am happy"
"1131","MORNING_IAM","I am confident"
"1132","MORNING_IAM","I am generous"
"1133","MORNING_IAM","I am an ecstatic bundle of divine genetic material"
"1134","MORNING_IAM","I am a burst of sunshine in the lives of others"
"1135","MORNING_IAM","I am a good parent"
"1136","MORNING_IAM","I am a good friend"
"1137","MORNING_IAM","I am a good neighbor"
"1138","MORNING_IAM","I am the embodiment of the good shepherd"
"1139","MORNING_IAM","I am a positive contribution to the well-being of this planet"
"1140","MORNING_IAM","I am a positive contribution to the well-being of my family"
"1141","MORNING_IAM","I am a positive contribution to the well-being of my community"
"1142","MORNING_IAM","I am an abundant being"
"1143","MORNING_IAM","I am beautiful"
"1144","MORNING_IAM","I am warm and friendly"
"1145","MORNING_IAM","I am playful"
"1146","MORNING_IAM","I am creative"
"1147","MORNING_IAM","I am artistic"
"1148","MORNING_IAM","I am thoughtful"
"1149","MORNING_IAM","I am caring"
"1150","MORNING_IAM","I am kind"
"1151","MORNING_IAM","I am that I am"
"1152","MORNING_IAM","I am humble"
"1153","MORNING_IAM","I am at home in quiet spaces"
"1154","MORNING_IAM","I am a joyful noise"
"1155","MORNING_IAM","I am well fed"
"1156","MORNING_IAM","I am clothed in the richness of Divine Substance"
"1157","MORNING_IAM","I am well cared for"
"1158","MORNING_IAM","I am safe"
"1159","MORNING_IAM","I am protected"
"1160","MORNING_IAM","I am the child of a generous creator"
"1161","MORNING_IAM","I am the change I have been waiting for"
"1162","MORNING_IAM","I am the love I have been looking for"
"1163","MORNING_IAM","I am an affirmation of life"
"1164","MORNING_IAM","I am powerful"
"1165","MORNING_IAM","I am the word in perfect form"
"1166","MORNING_IAM","I am that I am and that I am is amazing"
"1167","MORNING_IAM","I am always in a fun-loving frame of mind"
"1168","MORNING_IAM","I am in love with You and the world"
"1169","MORNING_IAM","I am trustworthy"
"1170","MORNING_IAM","I am always on time"
"1171","MORNING_IAM","I am always in the right place at the right time"
"1172","MORNING_IAM","I am always where I am supposed to be"
"1173","MORNING_IAM","I am creatively carefree and love all that unfolds from this state of being"
"1174","MORNING_IAM","I am safely held in this wonderful home"
"1175","MORNING_IAM","I am at home in this wonderful neighborhood"
"1176","MORNING_IAM","I am loving"
"1177","MORNING_IAM","I am blessing others every day in every way by what I do and what I say"
"1178","MORNING_IAM","I am always saying yes to my good"
"1179","MORNING_IAM","I am a force for good"
"1180","MORNING_IAM","I am full of energy"
"1181","MORNING_IAM","I am getting better and better every day in every way"
"1182","MORNING_IAM","I am in love with the air that I breathe"
"1183","MORNING_IAM","I am in love with the good food I eat"
"1184","MORNING_IAM","I am in love with the water I drink"
"1185","MORNING_IAM","I am calm"
"1186","MORNING_IAM","I am mindful"
"1187","MORNING_IAM","I am a perfect fit"
"1188","MORNING_IAM","I am a money magnet"
"1189","MORNING_IAM","I am a love magnet"
"1190","MORNING_IAM","I am a joy magnet"
"1191","MORNING_IAM","I am a peace magnet"
"1192","MORNING_IAM","I am a sacred space"
"1193","MORNING_IAM","I am an experience of peace"
"1194","MORNING_IAM","I am an experience of joy"
"1195","MORNING_IAM","I am an experience of love"
"1196","MORNING_IAM","I am in love with intimacy"
"1197","MORNING_IAM","I am basking in the luxurious life of the divine"
"1198","MORNING_IAM","I am a channel of the Divine"
"1199","MORNING_IAM","I am funny"
"1200","MORNING_IAM","I am lighthearted"
"1201","MORNING_IAM","I am always meeting great and wonderful people"
"1202","MORNING_IAM","I am always seeing the good in others"
"1203","MORNING_IAM","I am able to let go of what no longer serves me with love and respect"
"1204","MORNING_IAM","I am free"
"1205","MORNING_IAM","I am now financially free"
"1206","MORNING_IAM","I am now emotionally free"
"1207","MORNING_IAM","I am music to someone’s ears"
"1208","MORNING_IAM","I am always sharing with joy and gratitude"
"1209","MORNING_IAM","I am lucky"
"1210","MORNING_IAM","I am winning all the time"
"1211","MORNING_IAM","I am a healer"
"1212","MORNING_IAM","I am a manifester"
"1213","MORNING_IAM","I am aware of the power of good that flows through me"
"1214","MORNING_IAM","I am aware of the power of good that flows through others"
"1215","MORNING_IAM","I am aware of the Divine all around me"
"1216","MORNING_IAM","I am always getting enough sleep"
"1217","MORNING_IAM","I am well rested"
"1218","MORNING_IAM","I am whole"
"1219","MORNING_IAM","I am complete"
"1220","MORNING_IAM","I am one with everything and everyone"
"1221","MORNING_IAM","I am good at setting boundaries when I need them"
"1222","MORNING_IAM","I am always having good positive experiences"
"1223","MORNING_IAM","I am positive"
"1224","MORNING_IAM","I am choosing to be happy"
"1225","MORNING_IAM","I am choosing to be wealthy"
"1226","MORNING_IAM","I am choosing to be right here right now"
"1227","MORNING_IAM","I am intentionally embracing my space in the here and the now"
"1228","MORNING_IAM","I am free of the past"
"1229","MORNING_IAM","I am planting seeds of wealth now"
"1230","MORNING_IAM","I am planting seeds of joy now"
"1231","MORNING_IAM","I am planting seeds of prosperity now"
"1232","MORNING_IAM","I am a Divine seed"
"1233","MORNING_IAM","I am comfortable in the lap of luxury"
"1234","MORNING_IAM","I am a Divine receptacle"
"1235","MORNING_IAM","I am honest"
"1236","MORNING_IAM","I am worthy"
"1237","MORNING_IAM","I am deserving of all the good the universe has for me"
"1238","MORNING_IAM","I am a star"
"1239","MORNING_IAM","I am merciful"
"1240","MORNING_IAM","I am beneficent"
"1241","MORNING_IAM","I am on an amazing journey"
"1242","MORNING_IAM","I am growing spiritually every day in every way"
"1243","MORNING_IAM","I am a calm and gentle spirit"
"1244","MORNING_IAM","I am a good and worthy choice"
"1245","MORNING_IAM","I am in love with my quiet time"
"1246","MORNING_IAM","I am in love with the time I spend with friends and family"
"1247","MORNING_IAM","I am in love with diversity"
"1248","MORNING_IAM","I am a diverse spiritual being"
"1249","MORNING_IAM","I am enough"
"1250","MORNING_IAM","I am more than enough"
"1251","MORNING_IAM","I am the cup that runneth over"
"1252","MORNING_IAM","I am in love with money and all good and fun things I can do with it"
"1253","MORNING_IAM","I am in love with the world"
"1254","MORNING_IAM","I am justice"
"1255","MORNING_IAM","I am truth"
"1256","MORNING_IAM","I am the hero of my story"
"1257","MORNING_IAM","I am the consciousness of my life"
"1258","MORNING_IAM","I am the center of my world"
"1259","MORNING_IAM","I am the center of the universe"
"1260","MORNING_IAM","I am made of the substance of the stars"
"1261","MORNING_IAM","I am in love with change and welcome it with joy"
"1262","MORNING_IAM","I am in love with plants and flowers and grass and summer breezes"
"1263","MORNING_IAM","I am in love with snow and cold crisp winter air"
"1264","MORNING_IAM","I am in love with the heat and bright sunshine of summer"
"1265","MORNING_IAM","I am in love with the universe"
"1266","MORNING_IAM","I am in love with the Divine as it is expressed in the world around me"
"1267","MORNING_IAM","I am perfect as I am"
"1268","MORNING_IAM","I am in love with my face"
"1269","MORNING_IAM","I am in love with my eyes"
"1270","MORNING_IAM","I am in love with my stomach"
"1271","MORNING_IAM","I am in love with my periods"
"1272","MORNING_IAM","I am in love with my toes"
"1273","MORNING_IAM","I am in love with every breath I take"
"1274","MORNING_IAM","I am in love with my fingers"
"1275","MORNING_IAM","I am in love with my hair"
"1276","MORNING_IAM","I am in love with my head"
"1277","MORNING_IAM","I am in love with my ears"
"1278","MORNING_IAM","I am in love with my teeth"
"1279","MORNING_IAM","I am forever"
"1280","MORNING_IAM","I am eternal"
"1281","MORNING_IAM","I am a Divine song"
"1282","MORNING_IAM","I am a Divine story of peace"
"1283","MORNING_IAM","I am possibility"
"1284","MORNING_IAM","I am choosing wisely"
"1285","MORNING_IAM","I am a miracle"
"1286","MORNING_IAM","I am always choosing the best for myself and others"
"1287","MORNING_IAM","I am a beautiful dance of consciousness"
"1288","MORNING_IAM","I am I am such an I am I am"
"1289","MORNING_IAM","I am responsible"
"1290","MORNING_IAM","I am a helping hand"
"1291","MORNING_IAM","I am a gift"
"1292","MORNING_IAM","I am needed"
"1293","MORNING_IAM","I am happy to share my gifts with others"
"1294","MORNING_IAM","I am happy to receive gifts from others"
"1295","MORNING_IAM","I am imagining a world that works for everybody"
"1296","MORNING_IAM","I am belief"
"1297","MORNING_IAM","I am faith"
"1298","MORNING_IAM","I am strength"
"1299","MORNING_IAM","I am in love with all the time I have to do all the things I love"
"1300","MORNING_IAM","I am grateful to be able to do all the things I love"
"1301","MORNING_IAM","I am grateful for my life"
"1302","MORNING_IAM","I am grateful for the food in my refrigerator"
"1303","MORNING_IAM","I am grateful for the fire in my stove"
"1304","MORNING_IAM","I am grateful for the ground I walk on"
"1305","MORNING_IAM","I am grateful for art"
"1306","MORNING_IAM","I am grateful for music"
"1307","MORNING_IAM","I am in love with the musical sound of the world"
"1308","MORNING_IAM","I am grateful for the fish in the sea"
"1309","MORNING_IAM","I am grateful for the animals that walk this earth with me"
